"","cell_id","step_ix","simulation_i","sim_time"
"1","cell1",1903,24,0
"2","cell2",1423,18,120.083333333331
"3","cell3",3881,48,100.083333333332
"4","cell4",4478,55,330.083333333328
"5","cell5",2676,33,350.083333333324
"6","cell6",647,8,560.083333333309
"7","cell7",3870,48,0
"8","cell8",4857,60,20.0833333333333
"9","cell9",2567,32,80.0833333333331
"10","cell10",1423,18,120.083333333331
"11","cell11",767,10,120.083333333331
"12","cell12",6013,74,100.083333333332
"13","cell13",3280,40,658.8
"14","cell14",1502,19,90.0833333333326
"15","cell15",1366,17,370.083333333319
"16","cell16",5163,63,620.000000000003
"17","cell17",2652,33,110.083333333331
"18","cell18",8135,100,0
"19","cell19",4288,53,70.0000000000004
"20","cell20",6437,79,240.00000000001
"21","cell21",1365,17,360.083333333321
"22","cell22",1005,13,40
"23","cell23",7404,91,70.0000000000004
"24","cell24",2672,33,310.083333333333
"25","cell25",7895,97,60.0000000000006
"26","cell26",1342,17,130.083333333331
"27","cell27",1660,21,30.0833333333332
"28","cell28",5127,63,260.000000000011
"29","cell29",206,3,250.000000000011
"30","cell30",2969,37,0
"31","cell31",1331,17,20.0833333333333
"32","cell32",4458,55,130.083333333331
"33","cell33",1424,18,130.083333333331
"34","cell34",4062,50,270.000000000008
"35","cell35",1342,17,130.083333333331
"36","cell36",1342,17,130.083333333331
"37","cell37",5621,69,280.000000000006
"38","cell38",16,1,0
"39","cell39",5275,65,100.083333333332
"40","cell40",3732,46,250.000000000011
"41","cell41",1342,17,130.083333333331
"42","cell42",6013,74,100.083333333332
"43","cell43",3811,47,220.000000000008
"44","cell44",5703,70,280.000000000006
"45","cell45",2523,31,460.083333333299
"46","cell46",6022,74,190.000000000004
"47","cell47",1342,17,130.083333333331
"48","cell48",4203,52,40
"49","cell49",6560,80,658.8
"50","cell50",1500,19,70.0000000000004
"51","cell51",1997,25,120.083333333331
"52","cell52",3404,42,250.000000000011
"53","cell53",18,1,10
"54","cell54",1715,21,580.083333333318
"55","cell55",6314,77,658.8
"56","cell56",6841,84,180.000000000003
"57","cell57",1169,15,40
"58","cell58",1342,17,130.083333333331
"59","cell59",7731,95,60.0000000000006
"60","cell60",6168,76,10
"61","cell61",4455,55,100.083333333332
"62","cell62",4456,55,110.083333333331
"63","cell63",6013,74,100.083333333332
"64","cell64",1424,18,130.083333333331
"65","cell65",2584,32,250.000000000011
"66","cell66",6824,84,10
"67","cell67",1342,17,130.083333333331
"68","cell68",1423,18,120.083333333331
"69","cell69",1685,21,280.000000000006
"70","cell70",449,6,220.000000000008
"71","cell71",3406,42,270.000000000008
"72","cell72",6767,83,260.000000000011
"73","cell73",1576,20,10
"74","cell74",6013,74,100.083333333332
"75","cell75",2592,32,330.083333333328
"76","cell76",4859,60,40
"77","cell77",619,8,280.000000000006
"78","cell78",6013,74,100.083333333332
"79","cell79",292,4,290.000000000004
"80","cell80",4393,54,300.000000000002
"81","cell81",7336,90,210.000000000006
"82","cell82",4146,51,290.000000000004
"83","cell83",3462,43,10
"84","cell84",7313,90,0
"85","cell85",1342,17,130.083333333331
"86","cell86",772,10,170.000000000002
"87","cell87",4342,53,610.083333333331
"88","cell88",7997,98,260.000000000011
"89","cell89",6824,84,10
"90","cell90",1423,18,120.083333333331
"91","cell91",6013,74,100.083333333332
"92","cell92",2494,31,170.000000000002
"93","cell93",3313,41,160.000000000001
"94","cell94",3633,45,80.0833333333331
"95","cell95",6013,74,100.083333333332
"96","cell96",753,10,0
"97","cell97",1342,17,130.083333333331
"98","cell98",3965,49,120.083333333331
"99","cell99",1360,17,310.083333333333
"100","cell100",5102,63,10
"101","cell101",2420,30,250.000000000011
"102","cell102",1745,22,60.0000000000006
"103","cell103",7478,92,0
"104","cell104",1342,17,130.083333333331
"105","cell105",7563,93,20.0833333333333
"106","cell106",2812,35,70.0000000000004
"107","cell107",4370,54,70.0000000000004
"108","cell108",6192,76,250.000000000011
"109","cell109",7970,98,0
"110","cell110",851,11,140.083333333332
"111","cell111",1342,17,130.083333333331
"112","cell112",3710,46,30.0833333333332
"113","cell113",1502,19,90.0833333333326
"114","cell114",1674,21,170.000000000002
"115","cell115",6741,83,0
"116","cell116",7517,92,380.083333333317
"117","cell117",6747,83,60.0000000000006
"118","cell118",1826,23,50.0000000000003
"119","cell119",1502,19,90.0833333333326
"120","cell120",4468,55,230.000000000009
"121","cell121",6192,76,250.000000000011
"122","cell122",6013,74,100.083333333332
"123","cell123",1502,19,90.0833333333326
"124","cell124",3303,41,60.0000000000006
"125","cell125",4445,55,0
"126","cell126",1598,20,230.000000000009
"127","cell127",204,3,230.000000000009
"128","cell128",5758,71,10
"129","cell129",2072,26,50.0000000000003
"130","cell130",2333,29,200.000000000005
"131","cell131",1424,18,130.083333333331
"132","cell132",7994,98,230.000000000009
"133","cell133",5794,71,370.083333333319
"134","cell134",3544,44,10
"135","cell135",45,1,280.000000000006
"136","cell136",354,5,90.0833333333326
"137","cell137",7232,89,0
"138","cell138",1423,18,120.083333333331
"139","cell139",1276,16,290.000000000004
"140","cell140",4614,57,50.0000000000003
"141","cell141",1092,14,90.0833333333326
"142","cell142",2337,29,240.00000000001
"143","cell143",2006,25,210.000000000006
"144","cell144",1423,18,120.083333333331
"145","cell145",2749,34,260.000000000011
"146","cell146",3721,46,140.083333333332
"147","cell147",1424,18,130.083333333331
"148","cell148",5788,71,310.083333333333
"149","cell149",1424,18,130.083333333331
"150","cell150",7753,95,280.000000000006
"151","cell151",3154,39,210.000000000006
"152","cell152",6934,85,290.000000000004
"153","cell153",3791,47,20.0833333333333
"154","cell154",44,1,270.000000000008
"155","cell155",4405,54,420.083333333308
"156","cell156",5534,68,230.000000000009
"157","cell157",6013,74,100.083333333332
"158","cell158",4125,51,80.0833333333331
"159","cell159",1423,18,120.083333333331
"160","cell160",1912,24,90.0833333333326
"161","cell161",1342,17,130.083333333331
"162","cell162",6427,79,140.083333333332
"163","cell163",1092,14,90.0833333333326
"164","cell164",7789,95,640.000000000012
"165","cell165",261,4,0
"166","cell166",1337,17,80.0833333333331
"167","cell167",2479,31,20.0833333333333
"168","cell168",1413,18,20.0833333333333
"169","cell169",7335,90,200.000000000005
"170","cell170",4692,58,10
"171","cell171",310,4,470.083333333296
"172","cell172",2320,29,70.0000000000004
"173","cell173",188,3,70.0000000000004
"174","cell174",7650,94,70.0000000000004
"175","cell175",7668,94,250.000000000011
"176","cell176",6658,82,0
"177","cell177",929,12,100.083333333332
"178","cell178",1342,17,130.083333333331
"179","cell179",7241,89,80.0833333333331
"180","cell180",6013,74,100.083333333332
"181","cell181",1584,20,90.0833333333326
"182","cell182",6173,76,60.0000000000006
"183","cell183",1342,17,130.083333333331
"184","cell184",287,4,240.00000000001
"185","cell185",1342,17,130.083333333331
"186","cell186",3658,45,330.083333333328
"187","cell187",6087,75,20.0833333333333
"188","cell188",6575,81,0
"189","cell189",8148,100,130.083333333331
"190","cell190",2900,36,130.083333333331
"191","cell191",2590,32,310.083333333333
"192","cell192",6013,74,100.083333333332
"193","cell193",3749,46,420.083333333308
"194","cell194",3974,49,210.000000000006
"195","cell195",7671,94,280.000000000006
"196","cell196",6358,78,270.000000000008
"197","cell197",6031,74,280.000000000006
"198","cell198",7352,90,370.083333333319
"199","cell199",3712,46,50.0000000000003
"200","cell200",5435,67,60.0000000000006
"201","cell201",6502,80,70.0000000000004
"202","cell202",6013,74,100.083333333332
"203","cell203",4477,55,320.08333333333
"204","cell204",2841,35,360.083333333321
"205","cell205",3568,44,250.000000000011
"206","cell206",1423,18,120.083333333331
"207","cell207",3408,42,290.000000000004
"208","cell208",8057,99,40
"209","cell209",7977,98,60.0000000000006
"210","cell210",2530,31,530.083333333295
"211","cell211",2831,35,260.000000000011
"212","cell212",6847,84,240.00000000001
"213","cell213",6440,79,270.000000000008
"214","cell214",6588,81,110.083333333331
"215","cell215",4074,50,390.083333333314
"216","cell216",4702,58,110.083333333331
"217","cell217",1342,17,130.083333333331
"218","cell218",7518,92,390.083333333314
"219","cell219",4828,59,550.083333333304
"220","cell220",1424,18,130.083333333331
"221","cell221",1424,18,130.083333333331
"222","cell222",5767,71,100.083333333332
"223","cell223",1342,17,130.083333333331
"224","cell224",6110,75,250.000000000011
"225","cell225",3955,49,20.0833333333333
"226","cell226",1102,14,190.000000000004
"227","cell227",1040,13,390.083333333314
"228","cell228",7452,91,550.083333333304
"229","cell229",4128,51,110.083333333331
"230","cell230",1424,18,130.083333333331
"231","cell231",6013,74,100.083333333332
"232","cell232",1424,18,130.083333333331
"233","cell233",7169,88,180.000000000003
"234","cell234",2651,33,100.083333333332
"235","cell235",6749,83,80.0833333333331
