"","regulator","target","strength","effect"
"1","Burn1_TF1","Burn2_TF1",1,1
"2","Burn2_TF1","Burn3_TF1",1,1
"3","Burn3_TF1","Burn4_TF1",1,1
"4","Burn4_TF1","A1_TF1",1,1
"5","A1_TF1","A2_TF1",1,1
"6","A2_TF1","A3_TF1",1,1
"7","A3_TF1","A4_TF1",1,1
"8","A4_TF1","B1_TF1",1,1
"9","B1_TF1","B2_TF1",1,1
"10","B3_TF1","B2_TF1",10,-1
"11","B2_TF1","B2_TF1",2,1
"12","B1_TF1","B3_TF1",1,1
"13","B2_TF1","B3_TF1",10,-1
"14","B3_TF1","B3_TF1",2,1
"15","B2_TF1","B4_TF1",100,-1
"16","B3_TF1","B5_TF1",100,-1
"17","B2_TF1","B6_TF1",1,1
"18","B5_TF1","B6_TF1",1,1
"19","B3_TF1","B7_TF1",1,1
"20","B4_TF1","B7_TF1",1,1
"21","B6_TF1","B8_TF1",1,1
"22","B7_TF1","B8_TF1",1,1
"23","B2_TF1","B9_TF1",1,1
"24","B8_TF1","B9_TF1",1,1
"25","B2_TF1","B10_TF1",1,1
"26","B8_TF1","B10_TF1",1,1
"27","B2_TF1","B11_TF1",1,1
"28","B8_TF1","B11_TF1",1,1
"29","B3_TF1","B12_TF1",1,1
"30","B8_TF1","B12_TF1",1,1
"31","B3_TF1","B13_TF1",1,1
"32","B8_TF1","B13_TF1",1,1
"33","B3_TF1","B14_TF1",1,1
"34","B8_TF1","B14_TF1",1,1
"35","B11_TF1","C1_TF1",1,1
"36","C1_TF1","C2_TF1",1,1
"37","C2_TF1","C3_TF1",10,-1
"38","C3_TF1","C4_TF1",10,-1
"39","B14_TF1","D1_TF1",1,1
"40","D1_TF1","D2_TF1",10,-1
"41","D2_TF1","D3_TF1",10,-1
"42","D3_TF1","D4_TF1",10,-1
"43","D4_TF1","D5_TF1",10,-1
"44","Target1","Target61",5.54076508816815,-1
"45","Target1","Target62",5.24228750192748,1
"46","Target1","Target63",73.5048105385271,-1
"47","Target1","Target64",7.84730431613688,1
"48","Target1","Target65",5.50575745012166,1
"49","Target1","Target66",50.9159754807512,-1
"50","Target1","Target67",3.61636147189177,1
"51","Target1","Target68",1.76119258815467,-1
"52","Target1","Target69",2.81370820398456,-1
"53","Target1","Target70",4.96123203831697,1
"54","Target1","Target71",39.4264215221509,1
"55","Target1","Target72",2.38195743547332,1
"56","Target1","Target73",79.3582176259961,1
"57","Target1","Target74",13.0173749268045,-1
"58","Target1","Target75",84.1462224413585,1
"59","Target1","Target76",7.52412225360551,1
"60","Target1","Target77",3.69981535695951,1
"61","Target1","Target78",15.1009987711478,1
